No,NO,DS1,DS2,DS3,DS4,DS5,DS6,DS7,DS8,DS9,DS10,DS11,DS12,FOMO1,FOMO2,FOMO3,FOMO4,FOMO5,FOMO6,FOMO7,FOMO8,FOMO9,FOMO10,DB1,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DB10,DB11,DB12,DB13,DB14,DB15,DB16,DB17,DB18,DB19,DB20,DB21,DB22,DB23,DB24,Kelompok
1,1,2,2,1,2,1,3,1,2,4,1,5,2,3,4,3,1,1,3,1,1,3,3,5,3,4,4,4,4,2,3,2,3,3,4,3,2,2,3,1,2,3,3,2,2,4,2,Tidak
2,2,2,4,2,2,1,4,2,2,4,4,5,2,2,4,2,2,4,2,2,2,4,2,4,2,2,4,5,4,4,2,2,4,2,5,4,5,4,4,5,4,4,2,4,4,4,4,Tidak
3,3,4,4,3,5,1,4,4,2,1,1,4,4,3,5,4,1,4,1,1,1,2,1,5,3,2,1,4,4,3,4,3,1,1,5,5,5,5,3,1,1,1,5,5,4,1,1,Tidak
4,4,4,4,1,4,1,3,1,3,1,2,4,4,2,2,2,1,2,2,2,2,2,1,4,2,2,2,4,2,2,2,2,2,2,4,3,4,4,4,4,4,2,2,2,2,2,2,Tidak
5,5,3,4,5,3,3,4,3,2,5,4,5,4,5,5,3,2,2,3,2,2,3,2,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Tidak
6,6,3,4,4,2,2,4,3,3,3,4,4,3,4,4,2,2,2,2,4,2,2,2,4,2,4,4,4,4,2,2,2,4,2,2,4,4,5,5,2,4,2,2,2,2,2,2,Tidak
7,7,2,2,1,4,2,2,1,2,2,2,5,2,4,2,4,4,4,5,4,2,4,3,4,2,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2,2,4,4,4,4,Tidak
8,8,3,5,2,3,1,4,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,4,3,4,4,4,4,2,4,4,1,4,4,3,3,3,3,3,3,3,3,3,3,3,Tidak
9,9,2,3,1,3,2,4,1,3,2,1,3,2,2,2,5,3,3,5,3,4,3,2,4,3,3,3,4,4,4,2,3,4,3,4,4,5,4,5,5,4,4,3,4,4,4,5,Tidak
10,10,1,2,2,3,1,2,1,2,2,2,2,1,3,1,5,1,1,1,4,1,1,1,5,2,4,3,2,5,4,1,2,5,1,4,5,5,4,5,5,5,5,1,1,1,4,1,Tidak
11,11,3,2,4,4,2,4,2,2,3,1,4,2,2,4,2,2,1,2,2,2,2,1,4,2,2,2,2,4,2,2,2,2,2,4,2,4,2,2,2,2,1,2,2,2,2,2,Tidak
12,12,4,4,4,3,4,3,3,3,3,4,4,4,4,5,4,4,2,4,3,3,3,2,4,3,4,3,4,4,4,5,3,4,3,3,5,4,4,4,4,4,3,3,3,4,3,2,Tidak
13,13,1,2,1,2,1,1,1,2,2,2,4,1,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,4,2,1,1,1,2,2,2,2,1,1,2,1,2,2,2,2,1,2,Tidak
14,14,1,1,1,4,1,2,1,2,1,1,3,1,1,4,4,2,2,2,2,2,2,2,3,2,2,2,4,3,3,2,1,2,2,2,3,4,3,2,3,2,2,2,4,2,2,2,Tidak
15,15,2,4,2,2,2,2,2,3,2,2,3,3,2,4,4,2,2,4,4,2,4,2,4,2,4,4,4,4,4,2,4,2,2,2,4,3,2,4,4,3,4,3,3,3,4,4,Tidak
16,16,3,4,3,4,3,2,2,2,1,5,2,2,1,1,3,3,3,2,3,3,3,3,3,3,2,3,3,3,4,4,5,4,3,5,4,5,5,4,5,5,5,1,4,4,4,4,Tidak
17,17,2,3,4,5,2,3,2,2,2,3,4,2,1,2,3,2,2,1,2,1,1,1,2,2,4,4,2,2,2,1,2,2,2,2,2,4,2,2,4,2,4,2,2,2,2,2,Tidak
18,18,3,3,2,3,3,4,2,3,3,3,3,3,2,3,2,4,3,3,2,2,2,2,4,4,2,2,4,4,4,4,2,1,3,2,4,5,5,5,5,4,4,4,1,1,1,1,Tidak
19,19,2,4,4,4,2,2,2,2,2,4,4,2,4,4,4,2,2,4,2,2,2,2,4,2,4,4,4,3,4,2,4,2,2,4,2,4,4,4,2,4,4,4,4,2,4,2,Tidak
20,20,5,4,3,5,3,4,3,4,3,3,3,4,4,4,3,3,3,3,3,3,3,3,4,4,3,3,4,3,3,3,3,3,3,3,4,4,4,5,5,4,4,4,3,4,3,2,Tidak
21,21,2,2,2,3,2,2,2,2,3,2,4,2,2,4,4,3,2,3,2,2,2,2,4,3,3,3,4,4,3,2,3,2,3,3,4,3,3,4,4,3,3,3,4,3,2,3,Tidak
22,22,3,3,3,3,2,2,3,2,4,3,3,2,3,3,4,4,4,3,3,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,2,3,4,3,4,4,4,4,Tidak
23,23,2,3,2,3,2,4,2,4,2,4,4,1,2,2,4,2,2,4,4,2,3,2,4,3,3,4,3,4,4,2,3,2,2,4,3,4,3,4,4,2,4,2,4,4,4,2,Tidak
24,24,3,4,3,1,1,1,1,2,2,2,4,2,1,4,4,2,1,1,1,1,1,1,4,3,5,5,5,5,4,2,3,3,1,4,2,2,2,2,2,2,4,3,4,3,2,2,Tidak
25,25,2,1,2,1,1,2,1,1,2,2,2,1,1,1,3,1,1,1,1,1,1,1,2,3,3,2,3,2,2,2,1,1,1,2,2,2,2,1,3,1,2,2,3,2,1,1,Tidak
26,26,4,4,3,4,3,4,3,3,3,3,4,3,2,2,2,2,2,3,4,2,4,3,4,3,3,4,5,5,5,3,4,3,3,4,5,4,4,5,4,5,4,4,5,5,4,5,Tidak
27,27,4,2,1,4,1,3,1,2,4,1,4,2,1,1,4,3,3,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,2,3,3,Tidak
28,28,1,1,1,3,1,3,1,1,5,1,5,1,1,4,1,1,1,1,1,1,1,1,5,5,5,1,1,5,5,5,1,1,1,1,3,5,1,3,1,1,1,1,1,1,1,1,Tidak
29,29,3,5,5,2,1,3,3,3,4,3,3,2,2,3,3,4,3,3,3,3,4,3,4,3,5,5,4,4,4,3,4,3,3,3,5,5,5,5,5,5,5,4,4,2,2,4,Tidak
30,30,2,4,4,5,2,4,1,4,5,5,5,4,2,4,4,2,2,4,4,4,4,2,5,2,2,2,5,5,5,2,5,2,2,5,5,4,3,4,2,2,4,2,2,2,5,1,Ya
31,31,2,2,3,4,3,2,3,2,4,2,4,2,2,1,3,2,1,1,1,1,2,1,4,4,1,1,1,4,4,2,2,1,1,3,4,3,3,3,4,3,4,3,3,2,4,2,Tidak
32,32,2,3,2,2,2,4,2,2,4,2,5,2,2,2,4,3,2,4,2,2,2,2,5,5,5,4,2,2,4,4,3,4,2,4,4,2,4,5,3,4,5,4,4,3,4,2,Ya
33,33,2,4,3,5,1,4,1,3,4,3,3,3,2,5,4,2,1,3,3,3,3,2,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,4,3,5,3,4,4,Tidak
34,34,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,3,1,1,3,4,5,4,1,2,1,1,3,1,1,3,3,4,1,3,1,1,1,1,5,Tidak
35,35,4,2,2,4,2,2,2,4,2,2,4,2,4,4,4,4,2,4,4,2,4,2,4,4,4,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,2,3,2,Tidak
36,36,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Tidak
37,37,3,1,3,3,2,2,2,2,2,2,4,2,1,1,2,1,1,3,3,2,1,1,4,4,3,2,3,3,3,2,3,2,2,3,3,2,3,3,4,3,3,3,4,4,3,4,Tidak
38,38,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,4,1,1,4,4,4,4,2,2,2,2,4,2,2,3,2,2,2,4,2,2,2,2,2,Tidak
39,39,1,1,1,1,1,1,1,1,1,1,1,1,3,5,4,4,4,2,4,4,3,4,5,5,5,5,2,5,5,5,5,5,5,5,5,4,3,3,1,2,4,4,4,4,4,4,Tidak
40,40,1,4,1,3,2,3,1,1,1,1,4,3,2,2,4,3,2,3,2,1,3,2,4,4,3,3,4,4,3,3,3,4,3,4,4,3,3,4,3,3,4,2,4,3,3,3,Tidak
41,41,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,4,1,1,1,Tidak
42,42,1,1,1,1,1,1,1,1,1,1,2,1,1,2,3,1,1,1,1,1,1,1,3,2,2,3,4,3,3,2,3,3,2,4,4,3,3,4,3,3,3,2,2,2,2,3,Tidak
43,43,3,4,3,4,3,4,3,2,3,3,2,4,2,4,4,2,3,4,3,2,3,3,4,3,3,3,4,4,3,4,4,3,3,4,4,4,4,5,3,4,3,2,4,2,3,3,Tidak
44,44,1,1,2,2,2,3,1,1,2,1,1,1,2,2,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,2,3,1,2,2,1,1,1,1,1,1,3,Tidak
45,45,4,3,3,4,3,4,2,2,4,3,4,2,2,2,2,2,1,3,2,2,2,1,3,4,2,2,3,3,2,2,2,2,4,3,4,4,2,4,3,3,2,2,3,3,3,3,Tidak
46,46,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,1,2,1,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,3,2,2,2,1,1,1,1,1,1,1,Tidak
47,47,3,2,2,3,3,4,3,2,2,2,3,3,2,2,4,2,2,3,2,2,2,1,2,3,3,2,4,3,3,2,2,2,2,3,4,3,3,4,3,3,3,3,3,2,3,2,Tidak
48,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,3,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,Tidak
49,49,2,2,2,3,3,3,2,2,3,3,3,3,3,4,3,3,2,3,3,2,3,2,4,3,4,3,3,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,4,3,3,3,Tidak
50,50,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Tidak
51,51,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Tidak
52,52,2,1,2,4,2,4,2,2,3,2,3,2,2,2,4,2,1,3,4,1,4,1,4,5,1,1,3,2,4,2,5,2,2,3,5,5,5,5,5,5,4,3,4,2,2,5,Tidak
53,53,4,3,3,4,1,2,2,3,3,3,4,4,3,4,3,3,3,4,3,3,4,2,2,2,3,3,2,4,5,3,5,4,3,4,1,3,3,5,4,3,3,5,3,2,3,4,Tidak
54,54,2,2,2,4,2,2,2,2,2,2,2,2,2,3,2,2,2,4,3,3,4,3,3,4,4,4,3,3,3,2,2,3,2,4,3,4,3,4,3,3,2,3,4,2,3,4,Tidak
55,55,3,2,2,2,3,2,2,2,2,2,4,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,3,4,4,4,2,2,2,2,2,2,2,2,3,Tidak
56,56,1,1,1,3,2,2,1,1,2,2,4,2,2,4,3,3,3,3,2,2,2,2,4,3,3,2,3,3,4,3,2,2,3,3,3,3,3,3,3,4,3,2,3,3,3,3,Tidak
57,57,2,2,2,3,1,1,1,1,1,1,5,1,1,1,2,1,1,1,1,1,1,1,4,2,2,2,3,2,4,2,2,1,1,3,2,3,3,2,2,3,2,2,2,4,1,1,Tidak
58,58,1,1,1,1,1,2,1,2,1,1,3,2,4,4,3,2,1,2,1,1,1,1,4,4,4,3,4,3,4,2,2,3,1,2,2,2,3,4,3,4,3,2,2,2,2,2,Tidak
59,59,2,2,3,3,1,3,2,1,2,2,3,1,1,3,2,1,3,2,3,1,3,2,5,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,4,1,4,1,3,3,4,5,Tidak
60,60,4,3,3,4,3,3,2,3,2,2,3,3,1,2,3,2,2,2,3,2,3,1,3,2,3,3,4,3,4,3,4,3,3,4,4,4,3,4,4,4,4,3,3,3,4,4,Tidak
61,61,4,3,3,3,3,2,1,1,1,3,3,2,3,4,3,3,3,4,2,2,3,2,2,3,2,2,3,3,3,2,3,2,2,3,3,4,4,4,4,4,3,2,4,4,3,4,Tidak
62,62,3,3,2,3,2,4,2,3,3,1,3,2,2,2,3,3,2,2,2,2,2,2,3,2,3,3,3,4,3,3,2,2,2,2,4,3,3,4,4,2,3,2,3,3,2,2,Tidak
63,63,2,3,1,5,1,5,1,1,1,1,4,1,2,4,5,3,3,1,1,1,1,1,2,5,1,1,4,3,1,1,4,1,1,1,1,3,1,3,3,3,1,1,3,1,1,1,Tidak
64,64,4,4,2,3,2,2,2,2,2,3,4,3,2,3,3,2,2,2,2,2,2,2,3,3,3,4,4,3,2,2,2,2,2,3,3,3,2,4,4,2,2,2,3,2,2,2,Tidak
65,65,1,2,3,3,3,4,1,2,3,4,5,3,3,4,4,2,3,2,3,2,2,2,5,4,3,4,5,4,4,2,2,2,2,3,4,4,4,5,4,3,3,2,5,2,3,4,Tidak
66,66,4,3,4,4,4,3,4,2,2,2,3,3,3,4,3,3,2,3,3,3,2,2,5,4,4,4,5,2,3,4,2,2,2,2,5,4,4,5,5,4,4,5,4,3,3,5,Tidak
67,67,3,2,2,3,2,4,2,3,4,2,4,4,1,1,2,1,1,4,1,1,3,2,4,4,3,3,5,5,4,3,3,2,3,3,4,4,4,4,3,3,3,3,2,1,1,2,Tidak
68,68,4,4,3,3,3,4,2,2,2,2,4,3,2,3,2,3,3,3,3,3,3,2,3,3,3,3,4,4,4,3,3,3,2,3,3,3,3,3,2,3,3,3,2,2,2,3,Tidak
69,69,1,1,1,1,1,1,1,1,2,1,3,1,1,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,3,4,5,2,1,1,1,1,1,1,Tidak
70,70,2,2,4,3,1,3,1,3,4,3,5,4,2,2,4,3,2,3,1,1,2,2,2,1,1,2,4,4,3,3,3,4,4,5,4,4,3,4,5,3,3,2,4,4,3,4,Tidak
71,71,2,1,4,2,1,1,1,1,1,1,5,4,1,4,1,1,1,3,2,1,5,1,5,4,3,3,4,3,1,3,4,3,3,4,5,4,5,5,3,3,3,4,3,1,5,4,Tidak
72,72,2,2,1,3,1,2,1,2,2,3,4,1,5,5,2,1,2,2,1,1,2,1,4,4,4,4,4,2,2,1,1,1,1,1,2,4,2,4,4,4,2,2,3,4,2,2,Tidak
73,73,3,4,3,3,2,4,1,3,4,4,2,4,2,2,4,3,3,4,4,3,4,3,3,3,3,3,4,4,2,2,3,3,3,4,4,4,4,4,4,4,3,3,4,3,4,4,Tidak
74,74,1,1,1,1,1,3,1,2,2,4,4,4,1,1,2,1,1,3,3,1,3,1,5,5,3,3,4,4,4,4,4,4,3,2,4,5,5,5,5,5,5,5,5,4,4,5,Tidak
75,75,4,5,5,5,5,3,3,4,4,5,5,5,2,4,4,3,4,5,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,3,4,5,Tidak
76,76,2,2,2,3,2,2,2,2,2,2,4,2,3,3,4,2,2,2,2,1,1,1,3,3,3,3,4,4,3,4,2,2,2,3,3,3,3,4,4,3,3,3,4,3,2,2,Tidak
77,77,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Tidak
78,78,4,3,4,4,2,5,2,4,3,3,4,4,2,2,4,3,2,4,2,2,4,1,4,4,2,2,4,3,3,2,3,4,3,4,4,4,3,4,4,2,3,4,4,4,2,4,Tidak
79,79,1,2,1,1,1,2,1,1,4,1,4,1,2,4,4,1,2,1,1,1,1,1,4,5,4,5,5,5,5,4,5,4,2,5,5,5,4,4,3,5,4,5,3,2,5,5,Tidak
80,80,5,5,5,5,5,4,4,5,4,4,5,4,3,3,3,3,3,3,2,2,2,2,5,4,3,3,5,4,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,Tidak
81,81,2,3,2,3,3,2,2,1,2,3,3,2,5,5,3,2,2,3,3,2,3,2,4,3,3,3,5,5,5,3,4,3,3,3,3,3,3,3,2,3,3,2,2,2,2,1,Tidak
82,82,2,2,1,1,1,1,1,1,1,2,3,2,1,1,2,1,2,1,1,1,1,1,4,3,3,2,4,3,2,2,2,1,1,4,2,2,2,2,2,3,3,2,3,2,3,2,Tidak
83,83,2,3,1,1,1,3,1,1,4,3,5,1,1,1,3,4,1,1,4,1,5,1,5,5,4,4,5,2,5,3,3,4,1,5,3,3,4,3,4,2,3,3,4,2,3,4,Tidak
84,84,3,3,2,3,2,4,2,3,3,2,4,3,2,4,3,2,2,3,2,2,3,2,4,4,3,4,4,4,4,4,4,3,3,4,3,3,3,3,4,3,4,4,4,2,3,3,Tidak
85,85,2,2,2,2,2,2,2,1,4,4,4,3,2,1,1,2,2,4,1,1,4,1,4,5,5,5,4,2,4,4,4,5,2,4,2,2,4,4,5,2,5,2,4,2,4,2,Tidak
86,86,4,5,3,2,2,2,2,3,2,3,3,3,2,3,5,5,5,3,4,5,4,4,4,3,3,3,4,4,4,4,4,3,3,4,5,5,5,5,5,5,4,4,3,3,4,4,Tidak
87,87,2,1,1,2,1,2,2,2,4,2,4,2,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,2,2,2,2,2,4,2,4,4,4,4,2,2,4,4,2,2,Tidak
88,88,2,2,2,2,2,2,3,2,2,2,4,2,2,2,3,2,2,2,2,2,2,2,4,4,2,3,4,4,3,2,2,2,2,2,4,4,2,4,2,4,4,2,4,2,2,2,Tidak
89,89,3,3,2,3,2,2,2,2,3,3,4,3,2,3,3,4,3,3,2,3,2,3,3,3,3,2,4,5,4,3,4,3,2,5,5,3,3,4,3,2,3,3,3,2,3,5,Tidak
90,90,2,3,2,2,2,2,2,2,3,3,3,3,3,3,2,2,1,1,1,1,1,1,3,5,2,2,3,4,4,2,3,3,2,4,2,2,2,3,3,2,3,4,4,3,3,2,Tidak
91,91,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,4,2,1,1,1,1,1,2,4,1,2,2,4,2,2,1,1,1,1,Tidak
92,92,2,2,2,3,2,1,1,2,3,2,4,3,3,3,4,4,2,3,3,3,3,3,4,4,4,3,5,4,3,3,3,3,3,3,4,4,4,4,4,4,3,4,3,3,3,3,Tidak
93,93,4,4,3,3,3,3,3,3,3,3,4,3,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,3,3,2,2,3,4,4,4,4,4,4,4,4,3,4,4,Tidak
94,94,2,2,1,1,1,2,1,1,1,2,4,2,5,5,4,2,2,5,4,4,4,2,5,4,5,5,5,5,4,4,4,5,2,5,4,2,4,4,1,2,4,4,5,1,2,1,Tidak
95,96,3,3,2,3,2,4,2,2,2,4,4,2,2,2,4,2,3,2,4,2,2,4,4,4,2,2,4,4,2,2,2,3,3,4,4,4,3,4,4,2,2,3,3,3,3,3,Tidak
96,97,3,2,1,1,1,3,1,1,3,3,4,4,1,4,1,1,1,1,1,1,1,1,5,3,4,4,5,5,4,3,5,3,2,4,1,3,1,3,2,3,3,2,2,1,4,4,Ya
97,98,4,4,4,3,3,4,2,2,4,3,4,3,2,3,3,2,2,3,2,2,2,3,4,3,3,3,4,4,4,2,3,3,3,4,4,2,3,4,4,2,4,3,4,3,3,2,Ya
98,99,3,4,2,1,3,1,2,1,2,4,3,3,1,1,3,5,5,3,1,1,2,2,3,3,2,4,5,5,5,3,3,4,1,5,4,5,3,5,4,4,5,3,5,5,5,5,Tidak
99,100,2,4,3,3,2,4,2,2,2,2,2,2,4,4,2,2,2,2,2,2,4,2,2,2,2,3,3,2,2,3,3,2,4,4,4,4,4,4,2,3,2,4,3,3,2,2,Tidak
100,101,2,1,1,2,1,2,1,2,2,1,4,2,1,2,2,2,1,1,2,1,2,1,4,2,1,2,4,3,1,3,1,2,1,1,2,2,2,2,3,2,2,1,1,1,1,2,Tidak
