No,NO,DS1,DS2,DS3,DS4,DS5,DS6,DS7,DS8,DS9,DS10,DS11,DS12,FOMO1,FOMO2,FOMO3,FOMO4,FOMO5,FOMO6,FOMO7,FOMO8,FOMO9,FOMO10,DB1,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DB10,DB11,DB12,DB13,DB14,DB15,DB16,DB17,DB18,DB19,DB20,DB21,DB22,DB23,DB24,Kelompok
101,102,2,3,1,1,2,3,1,1,1,1,4,1,2,2,2,2,3,3,3,3,2,2,4,3,3,3,3,3,3,3,3,3,4,4,4,3,4,4,4,2,2,2,3,4,3,3,Tidak
102,103,1,1,1,2,2,3,1,1,2,2,5,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,4,1,2,1,1,1,1,1,1,1,3,1,3,3,1,5,1,1,3,3,Tidak
103,104,2,3,2,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,3,3,2,2,2,3,2,2,2,Tidak
104,106,1,1,1,1,1,3,1,1,5,1,1,1,1,1,5,3,3,1,1,1,1,1,4,4,4,3,4,3,4,1,1,1,1,1,3,3,1,3,3,2,3,1,3,4,3,3,Tidak
105,107,1,2,1,3,2,2,1,2,4,1,4,2,2,2,3,2,2,2,2,2,2,1,3,2,2,2,4,3,3,2,2,2,2,3,3,2,4,3,2,2,3,2,3,3,2,2,Tidak
106,108,2,3,2,2,1,4,1,3,4,1,4,2,2,2,2,2,2,4,2,2,3,2,5,5,3,3,5,5,5,5,3,3,2,5,4,5,4,4,4,5,3,3,3,2,4,4,Tidak
107,109,2,2,2,3,1,1,1,1,1,1,3,1,1,3,4,1,4,1,1,2,2,1,5,5,5,5,3,2,3,2,2,4,3,1,5,3,3,5,3,3,2,2,2,2,2,2,Tidak
108,110,2,2,4,2,1,3,1,1,2,3,4,1,4,4,2,1,1,3,2,1,2,1,3,4,2,2,2,2,1,1,1,4,3,1,3,1,1,4,1,1,3,4,5,3,2,1,Tidak
109,111,2,3,2,3,2,4,2,2,3,3,4,2,2,3,2,2,3,3,4,2,3,2,3,3,4,3,3,3,4,2,3,2,2,3,4,3,3,4,3,3,3,2,3,4,3,4,Tidak
110,112,2,2,2,2,2,2,2,2,4,3,4,2,2,2,2,2,2,2,2,2,2,2,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,2,4,Ya
111,113,2,2,1,1,1,3,1,1,1,1,4,2,1,5,2,1,3,1,1,1,1,1,5,5,4,4,5,3,5,2,1,2,2,2,2,1,1,3,1,2,2,5,3,4,1,1,Tidak
112,115,3,3,2,4,1,3,1,3,4,2,5,2,2,3,4,2,2,2,2,2,2,2,3,4,4,4,4,2,4,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,4,2,Tidak
113,116,1,1,1,5,1,3,1,1,5,1,5,1,1,1,5,1,1,1,1,1,1,1,5,2,5,3,5,3,5,1,2,2,1,2,4,3,1,1,1,5,1,1,1,1,1,1,Ya
114,117,5,4,4,3,3,4,4,3,1,3,3,4,4,4,2,1,1,1,2,1,1,1,3,5,3,3,2,3,4,4,3,2,1,1,5,5,4,5,5,5,3,5,4,3,2,3,Ya
115,118,1,1,1,2,1,3,1,2,5,2,3,3,3,4,4,3,1,3,2,3,3,1,4,4,3,3,2,5,5,3,2,2,2,2,4,3,3,4,4,4,4,5,4,2,3,2,Tidak
116,119,2,3,2,3,2,3,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,4,2,4,3,3,2,2,4,2,2,2,Tidak
117,120,2,2,2,1,1,3,1,3,1,1,3,2,2,2,2,2,2,3,2,2,2,2,4,4,4,4,5,3,3,2,2,2,2,2,5,5,4,5,5,5,2,2,2,2,2,2,Tidak
118,121,1,3,1,3,1,4,1,3,4,3,4,3,4,4,3,2,2,4,4,2,4,2,4,4,4,2,5,4,3,2,4,3,2,5,4,4,4,4,4,4,4,2,4,4,4,2,Tidak
119,122,1,1,1,1,1,1,1,3,1,1,5,1,1,1,1,1,1,1,1,1,1,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,Tidak
120,123,2,2,2,2,2,2,2,2,4,2,5,2,2,2,2,2,4,2,4,4,2,2,4,4,4,2,4,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,3,4,2,2,Tidak
121,124,1,2,2,3,1,1,2,1,2,3,4,3,2,3,3,3,2,3,2,2,2,2,4,3,3,4,3,2,3,3,2,3,3,2,3,3,3,4,4,3,3,3,3,4,3,3,Tidak
122,125,1,3,1,1,1,3,2,1,5,2,5,2,2,2,4,2,1,1,1,2,1,1,4,3,4,4,2,3,2,2,2,2,2,3,3,4,2,4,3,3,3,2,2,2,2,3,Ya
123,126,5,3,4,4,4,5,1,2,4,2,4,2,4,2,2,2,3,4,4,3,4,4,2,2,4,1,1,1,3,1,2,1,1,1,2,3,3,2,2,2,4,3,4,1,3,4,Ya
124,127,4,4,3,3,2,3,2,4,3,4,4,2,4,4,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,3,5,5,5,4,4,4,3,4,3,4,4,3,3,4,2,2,Ya
125,128,4,4,2,2,2,2,2,1,4,2,4,2,2,3,4,3,2,2,2,2,2,2,4,2,2,4,4,2,2,2,3,2,1,3,2,2,2,2,2,2,3,2,2,4,2,2,Ya
126,129,2,2,1,2,2,1,1,1,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,2,3,3,2,3,3,3,3,3,2,2,2,2,2,2,Tidak
127,130,1,1,1,1,1,1,1,1,1,3,5,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,3,1,1,Tidak
128,131,2,2,1,1,1,4,1,1,1,4,4,2,2,2,4,4,4,4,4,4,4,4,4,2,4,5,5,5,5,5,5,5,5,5,5,2,4,4,4,2,4,2,4,4,4,4,Tidak
129,132,1,2,2,2,2,2,2,2,2,2,4,2,2,3,2,2,2,2,2,2,2,2,5,2,4,4,5,4,2,2,2,2,2,4,4,4,2,2,2,2,4,2,4,2,2,2,Ya
130,133,2,2,1,2,1,3,1,2,4,2,2,1,2,1,1,1,1,2,1,1,3,2,5,3,4,5,5,5,3,2,2,2,1,4,3,3,3,2,2,2,1,2,2,1,1,3,Tidak
131,134,5,5,4,5,1,4,1,1,5,2,5,5,1,1,1,1,1,5,1,1,1,1,5,1,1,5,1,5,5,2,1,1,1,1,5,4,2,5,5,5,5,5,5,2,1,2,Ya
132,136,3,1,2,2,1,4,2,1,5,3,4,3,1,1,5,3,1,2,2,1,2,1,3,2,2,2,2,2,2,2,4,2,2,3,4,2,3,3,2,2,2,2,4,3,4,2,Tidak
133,137,2,3,2,4,1,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,5,4,2,2,2,2,2,2,2,2,5,2,3,2,2,3,2,3,1,2,3,5,3,3,1,Ya
134,138,1,2,2,1,2,3,3,1,2,2,2,3,2,2,4,2,4,3,1,2,3,2,4,2,3,3,5,2,4,2,4,4,3,4,3,4,3,4,3,3,4,3,3,2,2,2,Tidak
135,139,2,3,2,2,1,4,2,2,2,2,4,3,1,3,4,2,1,3,2,3,2,1,4,2,4,4,5,3,3,4,5,3,3,5,3,3,3,4,2,4,2,2,5,2,3,2,Tidak
136,140,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,Ya
137,141,2,2,4,2,2,3,2,2,3,3,4,3,2,4,3,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,4,2,3,3,3,2,3,3,3,4,3,4,4,2,1,Tidak
138,142,2,3,2,3,2,3,2,2,2,3,3,3,2,2,2,3,3,2,2,2,3,2,4,4,4,4,4,4,3,3,2,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,Tidak
139,143,1,2,2,2,2,4,2,1,3,3,4,2,1,1,4,3,3,3,4,3,3,1,4,2,3,3,3,3,3,3,3,3,3,3,5,4,3,5,4,3,2,2,2,2,2,2,Ya
140,144,2,2,1,2,1,3,1,2,1,2,4,2,1,1,4,3,2,3,2,2,2,2,4,3,5,3,4,3,3,3,4,3,2,3,5,4,4,5,4,3,4,3,4,2,4,3,Tidak
141,145,2,2,2,2,2,2,3,1,2,2,2,2,2,3,2,3,1,1,2,2,2,2,4,3,3,4,4,4,4,3,4,4,3,5,2,4,2,4,2,4,4,2,2,1,3,2,Tidak
142,146,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,5,5,5,5,1,4,4,2,3,2,1,2,5,1,1,4,3,1,5,5,3,1,1,1,Ya
143,147,5,2,2,2,2,4,2,3,2,4,4,2,2,2,2,2,2,3,2,2,2,2,4,4,3,2,3,2,2,4,2,3,3,4,4,2,2,4,4,2,4,3,4,4,2,2,Tidak
144,148,5,5,4,4,3,3,2,2,1,1,5,5,4,4,3,3,2,2,1,1,5,5,5,5,4,4,3,3,2,2,1,1,5,5,4,4,3,3,2,2,1,1,5,5,4,4,Tidak
145,149,2,1,3,3,2,4,2,2,2,2,3,2,2,4,3,4,4,2,1,2,2,2,3,1,3,2,3,2,1,1,2,1,4,4,3,5,4,4,5,4,2,1,4,3,3,4,Tidak
146,150,3,3,4,4,2,1,4,5,5,3,1,2,1,5,1,5,4,2,3,5,2,1,1,2,3,4,5,3,1,2,2,5,5,3,2,1,3,5,3,4,4,2,3,5,1,1,Ya
147,151,3,4,3,5,2,5,2,4,2,3,4,1,1,1,3,1,2,2,2,1,4,2,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Tidak
148,152,4,5,5,3,3,5,1,3,5,4,5,4,3,3,4,3,3,4,3,4,4,3,5,5,5,5,5,5,5,5,5,5,3,5,4,4,4,4,4,4,5,5,5,5,5,5,Ya
149,153,1,2,3,2,1,4,2,1,3,2,3,1,1,2,2,1,1,1,2,1,1,1,3,3,3,4,5,5,4,3,2,2,1,4,3,3,3,4,2,2,4,2,2,2,4,2,Tidak
150,154,5,5,5,5,5,5,1,3,3,5,5,5,1,1,2,2,3,1,1,1,1,1,5,3,4,3,5,5,5,2,2,2,2,4,4,3,3,4,2,2,4,2,4,3,4,3,Tidak
151,155,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,1,Tidak
152,156,3,4,2,3,2,3,2,1,3,3,4,3,3,4,3,2,2,3,2,1,3,1,5,4,3,3,3,3,4,4,3,3,3,3,3,3,2,4,3,3,4,4,3,3,3,4,Tidak
153,157,2,4,2,2,2,4,2,3,4,3,5,2,3,4,5,3,3,2,2,2,3,2,5,4,5,4,4,5,4,2,3,3,2,5,3,3,4,4,3,3,5,2,3,3,4,2,Tidak
154,158,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Tidak
155,159,2,4,2,4,2,5,2,4,4,2,4,2,4,4,4,4,4,5,4,4,4,4,2,2,4,2,4,4,4,2,5,2,4,4,4,4,4,5,4,4,4,4,4,4,4,4,Tidak
156,160,1,4,1,2,1,4,1,1,4,1,4,1,1,1,4,2,5,3,1,1,1,1,4,2,1,1,5,4,4,2,3,1,1,5,4,5,3,5,4,2,2,2,5,4,5,5,Tidak
157,161,1,3,1,1,1,1,1,1,5,1,5,1,5,5,3,3,5,3,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Tidak
158,162,4,5,3,5,3,5,5,5,4,4,5,5,3,4,3,5,2,5,4,5,5,5,3,2,2,2,2,4,3,3,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,4,Ya
159,163,2,2,2,2,2,3,2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,3,2,2,2,4,2,2,2,4,2,4,2,2,2,2,4,4,Tidak
160,164,3,4,4,3,3,4,3,3,4,4,4,3,3,4,2,2,2,3,3,2,3,2,4,3,4,4,4,4,4,3,4,3,3,4,3,3,4,3,3,4,4,2,3,2,2,2,Tidak
161,165,2,2,1,3,2,2,1,2,1,2,4,3,2,2,3,2,2,2,2,2,2,1,3,3,2,3,2,3,3,3,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,1,Tidak
162,166,4,4,5,2,2,5,3,1,5,5,5,2,1,5,5,1,2,2,1,4,1,2,5,5,5,5,5,5,5,5,5,5,2,5,3,3,2,5,5,1,5,2,2,1,1,4,Ya
163,167,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,4,2,4,4,4,5,5,5,2,4,2,4,2,4,4,4,4,4,4,3,2,4,2,4,Tidak
164,169,3,2,2,4,2,4,2,1,1,2,4,3,4,4,4,5,4,3,1,4,2,3,2,4,3,4,2,2,2,5,2,4,4,5,4,4,3,4,1,3,2,5,4,4,2,5,Tidak
165,170,1,2,2,3,1,2,1,2,2,3,4,2,2,2,2,1,1,1,1,2,1,2,3,3,3,5,4,4,3,2,2,2,2,2,2,2,2,3,2,3,2,2,4,2,4,4,Ya
166,171,2,2,4,1,1,4,1,1,1,2,4,1,2,2,2,1,2,2,1,2,1,1,4,2,4,4,4,4,4,1,1,2,1,4,4,4,4,4,5,5,3,2,1,1,1,1,Ya
167,172,1,3,1,1,1,3,1,1,3,1,4,1,2,2,1,1,1,1,1,1,1,1,4,4,3,4,5,1,1,3,1,1,1,1,4,4,3,3,3,1,4,1,1,1,1,3,Tidak
168,173,1,1,1,1,1,4,1,1,1,1,4,1,2,2,5,4,2,4,2,3,3,2,4,4,4,4,4,3,3,3,2,4,4,4,4,2,2,4,2,2,4,4,3,4,2,4,Tidak
169,174,2,2,1,2,1,4,1,3,1,1,2,1,1,3,5,2,1,4,2,2,3,1,5,1,2,1,5,3,2,1,1,1,1,1,4,1,3,2,5,4,2,1,2,2,1,5,Tidak
170,175,1,2,1,1,1,2,1,2,5,1,5,1,5,5,5,4,4,5,2,4,5,4,4,4,4,4,5,4,5,2,2,2,2,2,3,2,2,2,2,2,2,4,2,2,2,2,Tidak
171,176,2,1,1,3,2,4,1,2,2,2,3,2,3,4,5,5,5,5,4,2,4,4,1,1,1,1,1,3,2,5,3,2,1,4,5,4,4,5,3,5,3,1,4,3,2,4,Ya
172,177,4,4,5,4,4,5,4,2,2,4,5,4,1,2,2,1,2,4,2,2,1,1,2,4,4,2,4,2,2,1,2,2,2,4,5,4,4,4,5,4,2,4,3,3,2,2,Tidak
173,178,1,1,1,1,1,4,1,4,4,1,4,4,4,4,4,4,1,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,4,1,4,4,4,4,1,1,Tidak
174,179,2,2,2,4,2,3,1,1,2,2,3,2,2,2,4,2,2,2,2,2,2,2,4,4,4,4,5,5,5,5,5,5,5,5,3,3,3,3,3,3,4,3,3,2,3,3,Ya
175,180,3,4,2,2,3,2,2,1,1,1,3,2,1,1,3,1,1,1,1,1,1,1,4,1,1,1,2,4,1,1,1,1,1,1,1,5,1,4,2,4,1,4,4,1,1,1,Tidak
176,181,4,4,3,5,4,4,1,2,3,1,3,1,2,4,4,3,3,1,2,2,2,2,4,4,3,3,4,3,4,2,4,3,4,4,5,3,3,4,4,3,4,4,4,4,4,4,Tidak
177,182,1,2,1,1,1,4,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Tidak
178,183,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,3,1,4,4,4,4,4,4,4,1,2,3,2,1,3,1,1,4,4,4,1,1,1,Tidak
179,184,5,4,5,5,1,5,1,3,2,5,5,2,1,1,3,1,1,2,1,1,3,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,5,3,5,Ya
180,185,2,2,2,1,1,2,3,2,2,2,2,2,1,2,4,2,3,3,3,3,3,3,4,4,4,3,4,4,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,Tidak
181,186,2,2,2,3,1,3,1,1,3,1,1,1,2,2,3,3,1,2,1,1,2,1,3,4,2,2,5,4,3,2,3,2,3,3,2,3,3,4,3,2,4,3,4,3,4,2,Tidak
182,187,2,3,2,2,3,3,3,1,2,2,3,3,3,3,2,2,2,2,1,2,2,2,4,3,3,4,3,3,3,3,2,3,3,3,2,2,2,3,2,2,3,2,2,2,3,2,Ya
183,188,4,4,5,5,3,3,3,1,2,4,4,3,4,5,3,4,2,3,2,2,3,1,5,4,4,3,4,4,3,3,2,2,2,4,4,4,4,5,5,4,5,3,5,4,3,5,Tidak
184,189,2,2,2,4,1,3,1,2,5,2,3,1,1,1,3,1,1,1,1,1,1,1,4,2,2,2,3,3,1,3,3,3,3,3,3,5,3,5,5,4,3,3,3,3,3,3,Tidak
185,190,3,3,3,2,1,2,1,3,2,3,3,2,3,4,4,2,3,2,2,2,2,1,4,2,2,2,5,4,4,2,2,2,1,4,5,4,3,5,4,4,3,2,2,2,2,3,Ya
186,191,3,2,3,3,3,5,3,2,4,4,5,1,3,3,4,4,4,3,1,3,3,3,2,2,2,2,4,3,3,2,2,3,3,5,4,5,3,5,5,3,3,3,4,2,4,4,Ya
187,192,1,1,1,1,1,3,1,1,4,2,2,1,2,3,4,2,3,2,2,2,2,2,4,3,4,4,2,3,4,3,2,3,4,2,3,4,3,4,4,4,3,2,2,2,2,2,Tidak
188,193,2,2,2,3,2,4,2,4,4,4,4,4,4,5,4,4,5,4,3,4,4,4,3,2,2,2,4,2,2,2,1,2,3,2,3,5,4,4,3,2,2,1,5,3,2,4,Tidak
189,195,4,3,3,2,3,3,3,4,4,4,5,4,3,4,4,2,2,2,3,2,3,2,4,4,4,3,5,4,4,3,4,3,5,3,4,4,4,4,5,4,4,3,4,4,4,4,Ya
190,196,1,3,1,4,1,4,1,3,1,1,3,1,1,1,3,1,1,3,1,1,1,1,4,4,3,2,4,4,2,2,2,4,4,2,4,4,4,4,4,2,2,2,2,2,2,2,Ya
191,197,3,2,2,2,2,4,2,3,4,2,4,2,2,4,2,2,3,3,4,2,2,2,5,3,4,2,5,5,4,3,3,2,2,4,4,4,4,4,2,2,3,2,4,3,3,4,Tidak
192,198,5,4,3,4,2,5,4,2,5,5,5,5,4,4,2,2,3,4,4,2,5,2,5,4,5,5,5,5,5,3,5,4,4,5,5,4,5,4,4,4,5,3,5,4,5,4,Ya
193,199,3,2,1,1,1,4,1,3,1,3,4,2,1,1,3,1,2,1,1,2,1,1,1,4,4,4,4,1,4,5,3,1,5,3,5,5,4,5,2,5,3,4,3,1,1,4,Ya
194,200,2,3,2,1,2,4,2,2,4,2,5,3,2,4,4,2,3,3,2,4,2,2,5,4,4,4,5,5,5,4,3,2,2,4,4,3,4,4,2,2,4,4,4,3,3,3,Ya
195,201,4,3,3,4,2,3,3,2,4,3,2,3,2,2,4,2,4,4,2,2,1,1,4,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,4,3,4,4,3,4,4,4,Tidak
196,202,3,3,1,1,1,4,1,1,1,1,1,1,2,2,5,3,3,3,3,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,5,5,4,5,5,3,3,3,3,3,3,3,Tidak
197,203,3,2,2,4,2,2,2,1,2,2,4,2,2,3,2,2,2,2,3,1,2,2,2,2,2,2,4,3,3,2,2,2,2,2,5,4,2,5,5,2,2,3,4,2,2,3,Tidak
198,204,2,2,3,4,2,4,3,2,2,2,3,2,3,2,4,2,2,4,3,2,3,2,2,2,3,2,4,2,2,2,4,2,2,4,4,4,4,5,4,3,2,2,3,2,4,3,Tidak
199,205,2,2,1,2,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,3,4,3,4,3,2,3,1,2,2,3,4,4,4,4,2,4,4,Tidak
200,206,3,2,3,4,3,3,2,2,2,2,4,2,3,3,4,4,2,2,2,3,2,2,5,4,3,3,2,3,4,3,2,2,2,4,3,2,2,3,2,2,4,5,4,3,3,3,Tidak
201,207,1,2,2,4,2,2,1,1,3,2,4,4,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,Ya
