No,NO,DS1,DS2,DS3,DS4,DS5,DS6,DS7,DS8,DS9,DS10,DS11,DS12,FOMO1,FOMO2,FOMO3,FOMO4,FOMO5,FOMO6,FOMO7,FOMO8,FOMO9,FOMO10,DB1,DB2,DB3,DB4,DB5,DB6,DB7,DB8,DB9,DB10,DB11,DB12,DB13,DB14,DB15,DB16,DB17,DB18,DB19,DB20,DB21,DB22,DB23,DB24,Kelompok
305,311,3,1,2,2,1,3,1,3,4,4,5,3,2,3,1,2,2,1,2,1,3,2,4,5,3,4,4,5,4,5,3,4,4,5,5,3,5,4,4,5,4,5,3,4,4,5,Ya
306,312,3,5,4,4,5,4,5,5,3,5,4,4,5,5,4,5,3,5,4,4,5,3,4,4,5,4,5,3,5,4,4,5,5,3,4,4,5,4,5,5,3,5,4,4,5,4,Ya
307,313,4,5,5,3,5,4,4,5,4,5,5,3,5,4,5,3,4,4,5,4,4,5,3,4,4,5,4,5,3,5,4,4,5,4,5,3,4,4,5,4,5,5,4,5,3,4,Ya
308,314,4,5,5,3,5,4,5,5,3,4,4,5,4,5,3,5,5,4,5,4,4,5,3,5,4,4,5,4,5,5,3,5,4,5,5,4,5,3,5,4,4,5,4,5,3,4,Ya
309,315,2,3,1,2,2,1,2,1,3,1,2,2,1,1,2,1,3,1,2,1,1,3,2,2,3,1,2,1,1,2,1,3,2,2,1,2,1,1,3,1,2,2,1,1,3,2,Ya
310,316,5,4,5,5,3,5,4,4,5,4,5,5,4,5,3,5,4,4,5,4,5,5,3,5,4,4,5,4,5,5,3,5,4,4,5,4,5,3,5,5,4,5,4,3,5,4,Ya
311,317,4,5,3,5,4,4,5,4,5,5,3,4,5,4,5,5,4,3,5,4,4,5,3,5,4,4,5,5,4,5,3,5,4,4,5,4,5,3,5,4,4,5,4,5,5,3,Ya
312,318,4,5,3,5,5,4,4,5,4,5,3,4,4,5,5,3,5,4,4,5,4,5,3,5,4,5,5,4,5,3,4,4,5,4,5,5,4,5,3,5,4,4,5,4,5,5,Ya
313,319,4,4,5,3,4,4,5,4,5,3,4,4,5,3,5,5,4,5,3,4,4,5,4,5,3,5,4,4,5,4,5,3,5,4,4,5,4,5,3,4,4,5,4,5,5,3,Ya
314,320,4,4,5,4,5,3,4,5,4,5,5,4,5,4,5,3,4,5,4,5,5,4,5,5,4,5,4,3,5,4,5,5,4,5,4,5,5,4,5,3,4,5,4,5,5,4,Ya
315,321,4,3,4,5,4,5,5,4,5,4,5,5,5,4,5,3,4,5,4,5,4,4,5,4,5,4,3,5,4,5,5,4,5,4,4,5,3,4,5,4,5,4,4,5,4,5,Ya
316,322,4,5,4,5,5,3,4,5,4,5,5,4,5,4,5,3,4,5,4,5,5,4,5,4,5,4,4,5,4,3,4,5,5,5,5,4,5,4,4,5,4,5,5,3,4,5,Ya
317,323,4,5,4,5,5,4,3,5,4,5,5,4,5,4,5,3,4,5,4,5,5,4,5,4,3,5,4,5,4,5,5,4,5,4,4,5,4,5,5,4,5,4,5,3,4,5,Ya
318,324,4,5,4,4,5,4,3,5,4,5,5,4,5,4,5,4,5,3,4,4,5,4,5,5,4,5,4,5,3,4,5,4,5,5,4,5,4,3,5,4,5,5,4,5,4,4,Ya
319,325,4,3,4,5,4,5,5,4,5,4,4,5,4,5,3,4,5,4,5,5,4,5,4,5,4,5,5,4,3,5,4,5,5,4,5,4,4,5,4,5,5,4,3,4,5,4,Tidak
320,326,4,4,5,4,3,4,5,4,5,5,4,5,4,5,4,5,5,4,5,4,3,4,5,5,4,5,4,3,5,4,5,5,4,5,4,4,5,4,5,5,4,5,4,5,5,4,Tidak
321,327,4,5,4,4,5,4,5,5,4,5,4,4,4,4,5,4,5,3,5,4,4,5,5,4,5,5,4,5,4,4,5,2,5,4,5,5,4,5,4,4,5,4,5,5,4,2,Ya
322,328,5,4,5,5,4,5,3,5,5,4,5,5,4,4,5,3,5,5,4,5,4,4,4,4,5,4,5,5,4,4,5,4,5,2,4,5,4,4,5,4,5,5,4,5,4,1,Ya
323,329,4,5,4,4,5,4,5,5,4,5,4,5,5,5,4,5,4,4,5,4,5,5,5,5,4,5,4,4,5,4,5,5,4,2,4,5,4,4,5,4,5,5,4,5,4,1,Ya
324,330,2,1,2,2,1,2,2,1,2,1,4,2,2,1,3,2,2,1,2,3,1,2,4,3,4,4,3,2,4,5,2,3,2,1,2,1,2,2,1,3,3,1,2,1,1,2,Ya
325,331,2,2,1,2,1,2,2,1,3,1,2,2,2,1,2,2,4,2,5,2,1,2,2,1,2,2,1,2,1,2,2,3,1,2,2,1,3,2,1,1,4,3,5,4,3,4,Ya
326,332,4,5,4,4,5,4,5,5,4,5,4,4,4,5,3,5,4,4,5,4,5,5,4,5,3,5,5,4,5,4,4,5,2,5,4,5,4,4,5,4,4,5,3,5,5,2,Ya
327,333,4,5,4,4,5,4,5,5,5,4,3,4,4,5,5,4,3,5,4,4,5,4,5,4,5,3,4,5,5,4,5,4,4,5,4,5,4,4,5,4,5,4,3,5,4,4,Ya
328,334,4,5,4,5,5,4,5,5,4,3,5,4,4,5,5,4,5,3,4,4,5,4,5,4,5,5,4,5,3,4,5,5,4,5,4,4,5,4,5,3,4,4,5,5,4,5,Ya
329,335,2,1,2,2,1,3,1,2,1,1,4,2,3,1,2,2,1,2,1,2,2,1,2,1,2,1,3,2,2,1,2,1,2,2,2,1,2,2,1,3,1,2,1,1,2,1,Ya
330,336,4,5,4,4,5,4,5,4,5,5,4,5,4,4,5,4,5,5,4,5,4,5,4,5,4,4,5,3,4,4,5,4,2,4,4,5,4,4,5,4,5,5,4,5,4,2,Ya
331,337,5,5,4,3,5,4,5,5,4,5,4,4,5,4,5,4,4,3,5,4,5,4,5,4,5,5,4,5,4,4,3,5,4,5,5,4,5,4,4,5,4,5,4,3,5,4,Tidak
332,338,4,3,4,5,4,5,5,4,5,4,5,5,4,5,4,5,5,4,3,5,4,5,4,4,5,4,5,4,3,5,4,5,5,4,5,4,5,5,4,5,4,5,5,4,5,4,Tidak
333,339,4,5,4,5,4,5,5,4,3,5,4,5,4,5,4,5,5,4,3,4,5,4,5,4,3,5,4,5,4,5,5,4,5,4,4,5,4,5,5,4,3,4,5,4,4,5,Tidak
334,340,5,4,5,4,3,4,5,4,5,4,3,4,5,4,3,4,5,4,4,4,5,4,4,2,4,3,4,5,4,5,4,3,4,5,4,3,4,5,4,4,3,4,5,4,5,4,Tidak
335,341,4,5,4,3,4,5,4,5,4,3,4,5,4,5,4,3,4,5,4,5,3,4,1,2,1,2,4,3,5,4,5,4,3,4,5,4,5,4,3,4,5,4,3,4,5,4,Tidak
336,342,4,5,4,3,4,5,4,3,4,5,4,5,4,5,4,3,4,5,4,5,4,5,4,5,4,3,4,2,4,3,4,5,4,5,4,3,4,5,4,3,4,5,4,5,4,5,Tidak
337,343,4,5,4,3,4,5,4,5,4,3,5,4,5,4,5,4,3,4,5,4,5,4,5,4,5,4,3,4,5,4,4,5,4,5,4,5,4,3,4,5,4,5,4,5,4,4,Tidak
338,344,4,5,4,3,4,5,4,5,2,4,3,5,4,5,4,3,5,5,4,3,5,4,2,1,2,2,4,3,4,5,4,3,4,5,4,3,4,5,4,5,4,3,4,5,4,5,Tidak
339,345,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,Ya
340,346,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,Ya
341,347,5,4,4,5,4,5,5,4,5,4,4,5,5,5,4,5,4,4,5,4,5,5,4,5,5,4,5,3,4,5,4,5,4,5,5,4,5,5,3,4,5,4,4,5,4,5,Ya
342,348,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,Ya
343,349,4,3,4,5,4,4,5,4,5,4,5,4,5,3,5,5,4,4,5,4,5,4,4,4,5,4,5,3,5,4,4,5,4,5,4,4,5,4,5,3,5,4,5,4,5,4,Ya
344,350,5,4,4,5,3,5,4,4,5,4,5,5,5,4,5,5,4,5,4,5,3,5,5,4,5,5,3,4,5,4,5,4,4,5,5,4,5,4,5,3,5,4,5,4,5,5,Ya
345,351,5,4,5,5,3,4,5,4,4,5,4,5,5,5,4,5,3,5,4,5,4,4,5,4,5,5,4,4,3,5,4,4,5,4,5,5,4,5,4,5,3,4,5,4,5,5,Ya
346,352,5,4,5,5,3,4,4,5,4,5,3,4,5,4,4,5,4,5,5,3,4,5,5,4,5,5,3,5,4,4,5,4,5,4,4,5,5,4,5,3,5,4,5,5,4,5,Ya
347,353,4,4,5,3,4,5,5,4,4,5,3,5,5,4,4,5,4,5,3,5,4,4,5,4,5,5,4,4,5,3,5,4,4,5,4,5,4,5,5,3,4,5,4,5,5,4,Ya
348,354,4,5,5,3,4,5,3,5,4,4,5,4,4,5,5,4,5,4,5,3,4,5,5,4,5,4,4,5,4,5,4,5,5,4,5,3,5,4,4,5,4,5,4,5,5,4,Ya
349,355,5,4,5,5,3,5,3,4,4,5,4,5,5,5,4,5,3,4,5,4,5,5,4,5,5,4,5,4,5,5,4,5,4,5,3,5,4,4,5,4,5,5,4,5,4,5,Ya
350,356,2,3,4,3,4,2,3,4,2,4,2,3,4,2,3,2,3,4,3,4,2,3,4,3,2,3,2,4,2,4,3,4,2,3,2,3,4,3,4,2,3,4,2,4,2,3,Ya
351,357,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,Ya
352,358,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,Ya
353,359,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,Ya
354,360,4,5,3,5,4,4,5,4,5,5,4,5,5,3,4,4,5,4,5,4,4,5,5,4,5,5,4,5,4,4,5,3,5,4,4,5,4,5,4,5,5,4,5,3,4,5,Ya
355,361,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,Ya
356,362,5,4,4,5,3,5,4,5,4,4,5,4,5,5,4,5,3,4,5,4,5,4,5,4,5,4,3,5,4,5,5,4,5,4,5,4,5,5,4,5,4,5,5,4,5,4,Ya
357,363,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,Ya
358,364,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,Ya
359,365,4,5,5,4,4,5,4,4,5,5,4,4,4,5,5,4,4,5,5,4,5,4,4,4,5,5,4,5,5,4,4,5,5,4,5,4,4,5,5,4,5,4,4,5,5,5,Ya
360,366,4,5,5,4,4,2,4,5,5,4,4,5,4,5,5,4,4,5,5,4,5,4,4,5,5,4,4,5,5,2,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,Ya
361,367,4,5,5,4,4,5,4,4,5,5,4,5,4,5,5,4,4,5,5,4,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,Ya
362,368,1,2,2,1,1,2,1,1,2,2,1,2,1,2,2,1,1,2,2,1,1,2,1,2,2,1,1,2,1,2,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1,2,Ya
363,369,4,5,5,4,4,5,5,4,4,5,5,4,4,5,4,4,5,5,3,4,4,5,5,4,5,5,4,4,5,4,5,5,4,5,3,5,4,4,5,5,4,5,4,4,5,5,Ya
364,370,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,5,4,4,5,5,4,4,5,5,4,4,5,5,4,3,5,4,4,5,5,4,5,4,4,5,5,Ya
365,371,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,5,4,5,4,4,5,5,4,4,5,5,4,5,4,4,5,5,4,5,5,4,4,5,5,4,4,Ya
366,372,1,2,2,1,1,2,2,1,2,4,1,2,1,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,2,2,1,1,2,Ya
367,373,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,4,5,5,4,4,5,4,4,4,5,5,4,5,5,4,4,5,5,4,4,5,5,4,5,Ya
368,374,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,5,4,5,5,4,4,5,4,4,5,5,4,4,5,5,4,5,4,4,5,5,4,4,5,5,Ya
369,375,5,5,5,4,5,4,5,3,5,4,5,5,5,5,4,5,5,5,4,3,4,5,5,5,4,5,5,5,3,4,4,4,5,4,4,5,4,5,5,5,3,4,4,4,5,5,Ya
370,376,4,4,4,3,4,4,4,5,5,3,5,4,5,5,3,5,4,4,4,4,5,5,4,5,3,5,5,5,4,5,3,4,4,5,5,5,4,5,3,5,4,4,5,5,5,4,Tidak
371,377,4,5,5,3,5,4,5,5,5,4,4,3,3,4,5,4,4,4,5,5,3,4,5,5,5,5,4,5,3,4,4,5,3,5,4,4,4,4,5,3,4,4,3,5,5,5,Tidak
372,378,4,4,3,5,4,5,5,3,5,3,4,4,5,4,5,3,3,4,4,4,4,5,5,4,5,3,4,4,5,5,5,5,4,5,4,5,3,5,4,4,5,5,4,3,4,4,Tidak
373,379,5,4,5,4,4,4,5,3,5,4,5,5,4,5,4,5,3,3,3,4,4,5,5,4,5,3,4,4,5,5,5,5,4,5,5,5,4,4,3,5,4,4,4,4,5,5,Tidak
374,380,4,5,5,4,4,4,4,3,5,5,4,5,5,4,4,4,3,5,3,5,4,4,3,4,4,5,4,4,5,5,5,5,4,4,4,5,3,4,4,5,5,5,5,5,4,4,Tidak
375,381,3,4,4,4,5,4,5,5,5,4,4,5,5,4,5,3,4,5,4,5,5,4,4,5,3,4,4,5,5,5,5,5,4,4,4,4,3,5,4,4,4,4,5,3,4,4,Tidak
376,382,5,5,5,4,5,3,4,4,5,4,4,5,4,5,5,5,3,5,4,5,4,4,5,4,5,4,4,5,5,5,5,5,3,4,5,5,5,4,5,4,4,4,5,5,4,5,Tidak
377,383,5,4,5,4,5,3,5,4,5,4,4,4,5,4,5,4,4,4,4,5,5,4,5,3,5,4,3,3,5,5,5,4,5,4,5,5,5,5,5,3,4,4,3,5,4,5,Tidak
378,384,4,4,3,5,4,5,5,5,4,4,3,5,5,4,5,4,4,4,4,5,5,4,4,5,3,5,5,5,5,4,4,5,5,5,5,3,4,4,5,5,5,5,5,4,4,4,Tidak
379,385,2,1,3,1,2,1,2,1,3,1,4,1,1,2,1,3,1,2,1,3,1,2,2,1,3,1,2,1,2,1,3,1,2,1,1,2,1,3,1,2,2,1,3,1,2,1,Tidak
380,386,5,4,5,4,5,4,5,4,5,4,1,4,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,5,4,5,4,5,4,Ya
381,387,4,4,5,5,4,5,5,4,5,3,5,4,5,4,5,5,4,4,5,5,4,5,4,4,5,4,4,5,5,4,5,5,4,4,5,4,5,5,4,5,4,4,5,5,4,5,Ya
382,388,4,5,4,5,4,5,4,5,4,5,2,5,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,4,5,4,5,4,5,Ya
383,389,1,2,1,3,1,2,1,2,1,3,5,2,2,1,3,1,2,1,3,1,2,1,1,2,1,3,1,2,1,2,1,3,1,2,2,1,3,1,2,1,1,2,1,3,1,2,Ya
384,390,3,4,4,5,4,4,5,5,4,5,5,4,5,4,4,5,5,4,5,5,4,4,5,5,4,5,5,4,5,5,4,4,5,5,4,5,4,4,5,5,4,5,5,4,4,5,Ya
385,391,4,5,4,5,4,5,4,5,4,5,2,5,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,4,5,4,5,4,5,Ya
386,392,5,4,5,4,5,4,5,4,5,4,1,4,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,5,4,5,4,5,4,Ya
387,393,2,1,1,1,2,3,2,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,2,3,2,2,1,1,2,2,4,5,5,5,4,5,2,1,1,1,2,1,Ya
388,394,5,5,4,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,2,2,1,5,5,4,5,4,4,4,5,5,4,5,4,2,1,1,2,2,2,5,4,3,5,4,3,Ya
389,395,5,4,4,4,4,5,5,4,5,4,4,4,5,5,5,4,5,4,4,3,4,4,1,1,2,1,2,2,2,1,1,1,2,1,5,5,4,4,4,4,2,2,2,1,1,2,Ya
390,396,4,4,4,5,5,4,5,4,4,3,4,4,1,3,2,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,2,2,1,1,2,2,1,1,1,2,2,1,Ya
391,397,2,2,1,1,2,1,1,2,2,3,2,2,1,1,2,1,2,2,2,2,1,3,2,3,2,2,2,1,1,2,1,1,1,2,5,4,4,5,4,4,3,2,2,1,1,1,Ya
392,398,4,5,4,5,4,5,4,5,4,5,2,5,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,4,5,4,5,4,5,Ya
393,399,5,5,4,4,5,5,4,4,4,3,5,4,2,1,2,2,2,1,1,2,3,2,2,1,1,1,2,1,2,2,3,2,3,1,1,1,1,2,2,2,1,1,3,2,2,2,Ya
394,400,2,1,3,1,2,1,2,1,3,1,4,1,1,2,1,3,1,2,1,3,1,2,2,1,3,1,2,1,2,1,3,1,2,1,1,2,1,3,1,2,2,1,3,1,2,1,Ya
395,401,5,5,5,4,4,3,4,3,5,5,5,4,1,1,2,2,3,2,2,1,1,2,5,4,4,4,5,4,4,3,4,4,5,5,2,2,2,1,1,1,5,5,5,4,4,4,Ya
396,402,5,4,5,4,5,4,5,4,5,4,1,4,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,5,4,5,4,5,4,Ya
397,403,4,5,4,5,4,5,4,5,4,5,2,5,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,4,5,4,5,4,5,Ya
398,404,1,1,1,2,1,2,2,2,3,2,3,2,2,1,1,1,2,2,3,2,2,1,4,5,5,5,4,4,5,3,4,4,5,5,2,1,1,2,2,2,1,2,1,1,1,2,Ya
399,405,5,5,5,5,4,4,4,5,4,5,5,3,2,1,1,1,1,2,2,2,3,2,1,1,1,2,1,2,2,3,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,3,Ya
400,406,2,2,1,1,1,2,1,2,2,2,3,2,4,4,5,3,3,4,4,4,5,4,2,1,2,2,2,1,1,2,2,2,1,3,1,2,2,1,1,1,3,2,2,1,3,2,Ya
401,407,4,4,5,4,4,5,5,4,5,5,4,4,5,4,4,5,5,4,5,5,4,4,5,5,4,5,5,4,4,5,4,4,5,5,4,5,5,4,4,5,5,4,5,5,4,4,Ya
402,408,5,5,4,5,5,4,4,5,5,3,5,4,4,5,5,4,5,5,4,4,5,5,4,5,4,4,5,5,4,5,5,4,4,5,4,4,5,5,4,5,4,4,5,5,4,5,Ya
403,409,5,4,5,5,4,5,5,4,5,5,4,5,4,4,5,5,4,5,4,4,5,5,4,5,5,4,4,5,4,4,5,5,4,5,4,4,5,5,4,5,4,4,5,4,5,5,Ya
404,410,2,1,2,2,1,1,2,2,1,2,2,1,2,1,2,2,1,2,1,1,2,1,2,2,1,2,1,3,2,2,1,2,2,1,1,2,2,1,2,1,2,2,1,1,2,1,Ya
405,411,4,4,5,5,4,5,5,4,4,5,4,4,5,4,5,5,4,5,5,4,4,5,4,4,5,5,4,5,5,4,4,5,4,5,5,4,4,5,4,5,5,4,4,5,5,4,Ya
406,412,5,5,4,5,4,4,5,5,4,5,5,4,5,4,4,5,5,4,5,5,4,4,5,4,5,5,4,5,5,4,4,5,5,4,5,5,4,4,5,4,4,5,5,4,5,5,Ya
407,413,5,5,4,4,5,4,4,5,5,4,5,4,5,3,4,4,5,4,4,5,5,4,5,4,5,5,4,5,5,4,4,5,5,4,5,4,4,5,5,4,4,5,5,4,5,4,Ya
408,414,5,5,4,4,5,4,4,5,5,4,5,5,4,5,4,4,5,5,4,5,5,4,5,4,4,5,5,4,4,5,5,4,5,5,4,4,5,4,4,5,5,4,5,5,4,4,Ya
