No,Kelompok,Norm_DS,Norm_FOMO,Norm_DB
1,Umum,29.17,32.5,47.92
2,Umum,45.83,40,66.67
3,Umum,52.08,32.5,51.04
4,Umum,41.67,20,42.71
5,Umum,68.75,47.5,96.88
6,Umum,56.25,40,50
7,Umum,31.25,65,63.54
8,Umum,25,5,57.29
9,Umum,31.25,55,70.83
10,Umum,18.75,22.5,58.33
11,Umum,43.75,25,32.29
12,Umum,64.58,60,65.63
13,Umum,16.67,15,18.75
14,Umum,14.58,32.5,36.46
15,Umum,35.42,50,57.29
16,Umum,43.75,37.5,70.83
17,Umum,45.83,15,34.38
18,Umum,47.92,37.5,54.17
19,Umum,45.83,45,57.29
20,Umum,66.67,55,63.54
21,Umum,33.33,40,54.17
22,Umum,43.75,52.5,67.71
23,Umum,43.75,42.5,56.25
24,Umum,29.17,17.5,52.08
25,Umum,12.5,5,22.92
26,Umum,60.42,40,79.17
27,Umum,35.42,32.5,38.54
28,Umum,25,7.5,33.33
29,Umum,52.08,52.5,75
30,Gamer,68.75,55,56.25
31,Umum,43.75,12.5,43.75
32,Gamer,41.67,37.5,66.67
33,Umum,50,45,90.63
34,Umum,4.17,2.5,31.25
35,Umum,41.67,60,65.63
36,Umum,91.67,100,100
37,Umum,33.33,15,51.04
38,Umum,2.08,25,38.54
39,Umum,0,67.5,78.13
40,Umum,27.08,35,59.38
41,Umum,0,22.5,12.5
42,Umum,2.08,7.5,45.83
43,Umum,54.17,50,61.46
44,Umum,12.5,12.5,11.46
45,Umum,54.17,22.5,45.83
46,Umum,0,25,7.29
47,Umum,41.67,30,44.79
48,Umum,0,5,6.25
49,Umum,39.58,45,53.13
50,Umum,29.17,25,26.04
51,Umum,50,50,50
52,Umum,35.42,35,62.5
53,Umum,50,55,57.29
54,Umum,29.17,45,53.13
55,Umum,35.42,27.5,35.42
56,Umum,20.83,40,48.96
57,Umum,18.75,2.5,32.29
58,Umum,10.42,25,44.79
59,Umum,27.08,27.5,80.21
60,Umum,47.92,27.5,61.46
61,Umum,35.42,47.5,51.04
62,Umum,39.58,30,44.79
63,Umum,29.17,30,23.96
64,Umum,43.75,30,41.67
65,Umum,45.83,42.5,61.46
66,Umum,54.17,45,68.75
67,Umum,47.92,17.5,54.17
68,Umum,50,42.5,47.92
69,Umum,6.25,10,17.71
70,Umum,47.92,30,57.29
71,Umum,25,25,63.54
72,Umum,25,30,41.67
73,Umum,52.08,55,60.42
74,Umum,27.08,17.5,81.25
75,Umum,85.42,70,94.79
76,Umum,31.25,27.5,51.04
77,Umum,0,0,2.08
78,Umum,62.5,40,58.33
79,Umum,16.67,20,82.29
80,Umum,89.58,40,61.46
81,Umum,33.33,50,51.04
82,Umum,12.5,5,36.46
83,Umum,29.17,30,62.5
84,Umum,45.83,37.5,62.5
85,Umum,37.5,22.5,64.58
86,Umum,45.83,75,73.96
87,Umum,27.08,75,45.83
88,Umum,31.25,27.5,47.92
89,Umum,41.67,45,58.33
90,Umum,35.42,15,47.92
91,Umum,8.33,0,20.83
92,Umum,31.25,52.5,63.54
93,Umum,56.25,25,65.63
94,Umum,16.67,67.5,65.63
95,Umum,43.75,42.5,52.08
96,Gamer,31.25,7.5,54.17
97,Gamer,58.33,35,56.25
98,Umum,35.42,35,75
99,Umum,37.5,40,46.88
100,Umum,18.75,12.5,22.92
101,Umum,18.75,35,55.21
102,Umum,20.83,0,25
103,Umum,33.33,25,31.25
104,Umum,12.5,20,40.63
105,Umum,27.08,25,38.54
106,Umum,35.42,32.5,72.92
107,Umum,14.58,25,52.08
108,Umum,29.17,27.5,32.29
109,Umum,41.67,40,52.08
110,Gamer,35.42,25,67.71
111,Umum,16.67,17.5,43.75
112,Umum,43.75,32.5,44.79
113,Gamer,29.17,10,34.38
114,Gamer,60.42,20,61.46
115,Umum,27.08,42.5,57.29
116,Umum,33.33,30,37.5
117,Umum,20.83,27.5,56.25
118,Umum,39.58,52.5,64.58
119,Umum,12.5,0,9.38
120,Umum,35.42,40,38.54
121,Umum,27.08,35,52.08
122,Gamer,31.25,17.5,43.75
123,Gamer,58.33,55,30.21
124,Gamer,54.17,47.5,71.88
125,Gamer,39.58,35,35.42
126,Umum,20.83,47.5,39.58
127,Umum,12.5,7.5,10.42
128,Umum,25,65,77.08
129,Gamer,27.08,27.5,47.92
130,Umum,22.92,12.5,43.75
131,Gamer,64.58,10,53.13
132,Umum,39.58,22.5,38.54
133,Gamer,29.17,40,37.5
134,Umum,25,37.5,54.17
135,Umum,35.42,30,58.33
136,Gamer,0,2.5,3.13
137,Umum,41.67,32.5,57.29
138,Umum,37.5,32.5,65.63
139,Gamer,33.33,40,50
140,Umum,22.92,30,63.54
141,Umum,25,25,55.21
142,Gamer,0,5,47.92
143,Umum,45.83,27.5,51.04
144,Umum,58.33,50,56.25
145,Umum,33.33,40,46.88
146,Gamer,52.08,47.5,47.92
147,Umum,54.17,22.5,97.92
148,Gamer,72.92,60,91.67
149,Umum,27.08,7.5,50
150,Umum,83.33,10,58.33
151,Umum,33.33,27.5,28.13
152,Umum,43.75,35,58.33
153,Umum,47.92,47.5,63.54
154,Umum,47.92,50,54.17
155,Umum,52.08,77.5,66.67
156,Umum,27.08,25,57.29
157,Umum,20.83,55,100
158,Gamer,85.42,77.5,76.04
159,Umum,35.42,25,51.04
160,Umum,62.5,40,57.29
161,Umum,27.08,25,26.04
162,Gamer,64.58,35,69.79
163,Umum,4.17,12.5,64.58
164,Umum,37.5,60,58.33
165,Gamer,27.08,12.5,44.79
166,Gamer,25,15,47.92
167,Umum,18.75,5,35.42
168,Umum,12.5,47.5,58.33
169,Umum,18.75,35,33.33
170,Umum,22.92,82.5,44.79
171,Gamer,27.08,77.5,45.83
172,Umum,72.92,20,51.04
173,Umum,31.25,52.5,25
174,Gamer,29.17,30,70.83
175,Umum,29.17,5,25
176,Umum,47.92,37.5,66.67
177,Umum,8.33,15,0
178,Umum,6.25,2.5,42.71
179,Gamer,64.58,12.5,94.79
180,Umum,22.92,42.5,54.17
181,Umum,18.75,20,51.04
182,Gamer,35.42,27.5,41.67
183,Umum,60.42,47.5,69.79
184,Umum,33.33,5,53.13
185,Gamer,33.33,37.5,51.04
186,Gamer,54.17,52.5,56.25
187,Umum,14.58,35,51.04
188,Umum,52.08,77.5,42.71
189,Gamer,62.5,42.5,72.92
190,Gamer,25,10,48.96
191,Umum,41.67,40,59.38
192,Gamer,77.08,55,86.46
193,Gamer,29.17,10,59.38
194,Gamer,41.67,45,65.63
195,Umum,50,35,67.71
196,Umum,14.58,50,55.21
197,Umum,33.33,27.5,44.79
198,Umum,39.58,42.5,48.96
199,Umum,16.67,0,58.33
200,Umum,41.67,42.5,51.04
201,Gamer,33.33,0,12.5
202,Umum,12.5,17.5,32.29
203,Umum,47.92,35,67.71
204,Umum,68.75,67.5,67.71
205,Gamer,58.33,32.5,46.88
206,Umum,39.58,50,69.79
207,Gamer,89.58,97.5,92.71
208,Umum,43.75,12.5,56.25
209,Gamer,29.17,50,58.33
210,Umum,54.17,42.5,58.33
211,Umum,25,0,61.46
212,Umum,18.75,32.5,63.54
213,Umum,27.08,37.5,40.63
214,Umum,25,45,60.42
215,Umum,39.58,22.5,43.75
216,Umum,35.42,37.5,52.08
217,Gamer,12.5,7.5,19.79
218,Umum,27.08,40,32.29
219,Gamer,52.08,50,53.13
220,Gamer,52.08,2.5,89.58
221,Umum,52.08,42.5,46.88
222,Umum,22.92,20,33.33
223,Umum,52.08,67.5,88.54
224,Umum,25,5,40.63
225,Umum,25,45,48.96
226,Gamer,20.83,0,8.33
227,Gamer,41.67,30,71.88
228,Umum,8.33,5,22.92
229,Umum,6.25,35,68.75
230,Umum,70.83,12.5,76.04
231,Umum,35.42,32.5,55.21
232,Umum,47.92,35,50
233,Umum,4.17,0,37.5
234,Umum,54.17,57.5,57.29
235,Umum,18.75,17.5,63.54
236,Umum,37.5,97.5,57.29
237,Umum,45.83,70,75
238,Umum,25,17.5,28.13
239,Gamer,29.17,10,32.29
240,Umum,22.92,15,48.96
241,Umum,31.25,35,35.42
242,Gamer,2.08,0,0
243,Umum,25,32.5,48.96
244,Umum,41.67,22.5,45.83
245,Umum,31.25,20,46.88
246,Umum,31.25,37.5,41.67
247,Umum,75,65,62.5
248,Gamer,33.33,50,58.33
249,Gamer,33.33,45,37.5
250,Umum,29.17,35,60.42
251,Umum,25,15,26.04
252,Gamer,58.33,70,72.92
253,Umum,8.33,15,65.63
254,Gamer,14.58,22.5,53.13
255,Gamer,33.33,25,62.5
256,Umum,31.25,45,52.08
257,Gamer,66.67,60,69.79
258,Gamer,77.08,75,79.17
259,Gamer,81.25,77.5,77.08
260,Umum,12.5,20,47.92
261,Gamer,31.25,30,26.04
262,Gamer,77.08,77.5,80.21
263,Gamer,81.25,80,79.17
264,Umum,70.83,80,78.13
265,Gamer,29.17,25,23.96
266,Gamer,79.17,77.5,78.13
267,Gamer,70.83,75,73.96
268,Gamer,31.25,22.5,23.96
269,Gamer,77.08,75,80.21
270,Umum,72.92,82.5,76.04
271,Umum,72.92,70,76.04
272,Umum,79.17,77.5,75
273,Umum,72.92,82.5,75
274,Gamer,83.33,80,84.38
275,Gamer,87.5,85,86.46
276,Gamer,85.42,82.5,85.42
277,Gamer,87.5,77.5,83.33
278,Gamer,81.25,82.5,85.42
279,Gamer,87.5,82.5,86.46
280,Gamer,18.75,15,14.58
281,Gamer,18.75,12.5,16.67
282,Gamer,85.42,85,84.38
283,Gamer,16.67,17.5,15.63
284,Umum,22.92,17.5,18.75
285,Umum,18.75,17.5,20.83
286,Umum,18.75,20,17.71
287,Umum,20.83,17.5,17.71
288,Umum,22.92,25,16.67
289,Gamer,83.33,80,79.17
290,Gamer,20.83,20,18.75
291,Gamer,18.75,20,15.63
292,Gamer,79.17,85,80.21
293,Gamer,81.25,80,81.25
294,Gamer,52.08,32.5,62.5
295,Gamer,41.67,40,78.13
296,Gamer,56.25,52.5,62.5
297,Gamer,62.5,82.5,70.83
298,Gamer,56.25,65,61.46
299,Gamer,14.58,12.5,11.46
300,Gamer,87.5,87.5,82.29
301,Gamer,89.58,85,82.29
302,Gamer,85.42,90,81.25
303,Gamer,66.67,82.5,84.38
304,Gamer,85.42,87.5,82.29
305,Gamer,41.67,22.5,80.21
306,Gamer,81.25,82.5,82.29
307,Gamer,83.33,82.5,80.21
308,Gamer,83.33,85,82.29
309,Gamer,20.83,15,18.75
310,Gamer,87.5,85,82.29
311,Gamer,81.25,85,82.29
312,Gamer,81.25,85,84.38
313,Gamer,77.08,82.5,81.25
314,Gamer,83.33,85,86.46
315,Gamer,85.42,82.5,84.38
316,Gamer,85.42,85,85.42
317,Gamer,85.42,85,85.42
318,Gamer,83.33,82.5,85.42
319,Umum,83.33,85,84.38
320,Umum,83.33,82.5,87.5
321,Gamer,85.42,82.5,83.33
322,Gamer,89.58,82.5,80.21
323,Gamer,87.5,90,81.25
324,Gamer,20.83,22.5,35.42
325,Gamer,18.75,32.5,31.25
326,Gamer,85.42,85,80.21
327,Gamer,83.33,82.5,83.33
328,Gamer,85.42,82.5,85.42
329,Gamer,20.83,17.5,16.67
330,Gamer,87.5,87.5,78.13
331,Umum,85.42,82.5,84.38
332,Umum,85.42,85,86.46
333,Umum,85.42,82.5,84.38
334,Umum,79.17,80,75
335,Umum,79.17,77.5,66.67
336,Umum,79.17,82.5,76.04
337,Umum,79.17,82.5,82.29
338,Umum,75,80,67.71
339,Gamer,12.5,12.5,12.5
340,Gamer,87.5,87.5,87.5
341,Gamer,87.5,90,85.42
342,Gamer,87.5,87.5,87.5
343,Gamer,81.25,85,83.33
344,Gamer,85.42,87.5,86.46
345,Gamer,85.42,85,85.42
346,Gamer,81.25,85,86.46
347,Gamer,81.25,82.5,85.42
348,Gamer,81.25,85,86.46
349,Gamer,83.33,87.5,87.5
350,Gamer,50,50,50
351,Gamer,87.5,87.5,87.5
352,Gamer,87.5,87.5,87.5
353,Gamer,87.5,87.5,87.5
354,Gamer,85.42,82.5,85.42
355,Gamer,87.5,87.5,87.5
356,Gamer,83.33,85,87.5
357,Gamer,12.5,12.5,12.5
358,Gamer,87.5,87.5,87.5
359,Gamer,85.42,87.5,88.54
360,Gamer,81.25,87.5,85.42
361,Gamer,87.5,87.5,87.5
362,Gamer,12.5,12.5,11.46
363,Gamer,87.5,82.5,87.5
364,Gamer,87.5,87.5,86.46
365,Gamer,87.5,87.5,87.5
366,Gamer,18.75,10,11.46
367,Gamer,87.5,87.5,87.5
368,Gamer,87.5,87.5,87.5
369,Gamer,89.58,87.5,85.42
370,Umum,77.08,85,85.42
371,Umum,83.33,77.5,82.29
372,Umum,77.08,77.5,83.33
373,Umum,85.42,75,85.42
374,Umum,83.33,77.5,84.38
375,Umum,83.33,85,80.21
376,Umum,85.42,85,88.54
377,Umum,83.33,85,83.33
378,Umum,81.25,85,87.5
379,Umum,20.83,17.5,16.67
380,Gamer,79.17,87.5,87.5
381,Gamer,85.42,90,87.5
382,Gamer,83.33,87.5,87.5
383,Gamer,25,17.5,16.67
384,Gamer,83.33,87.5,89.58
385,Gamer,83.33,87.5,87.5
386,Gamer,79.17,87.5,87.5
387,Gamer,14.58,15,34.38
388,Gamer,31.25,10,66.67
389,Gamer,83.33,82.5,30.21
390,Gamer,79.17,12.5,11.46
391,Gamer,18.75,17.5,33.33
392,Gamer,83.33,87.5,87.5
393,Gamer,83.33,20,17.71
394,Gamer,20.83,17.5,16.67
395,Gamer,83.33,17.5,65.63
396,Gamer,79.17,87.5,87.5
397,Gamer,83.33,87.5,87.5
398,Gamer,20.83,17.5,48.96
399,Gamer,87.5,17.5,16.67
400,Gamer,18.75,75,18.75
401,Gamer,85.42,87.5,88.54
402,Gamer,87.5,90,87.5
403,Gamer,91.67,87.5,87.5
404,Gamer,14.58,12.5,15.63
405,Gamer,85.42,90,87.5
406,Gamer,89.58,87.5,89.58
407,Gamer,87.5,82.5,88.54
408,Gamer,89.58,87.5,87.5
